27418899	0	total (QC-passed reads + QC-failed reads)
27395308	0	primary
0	0	secondary
23591	0	supplementary
0	0	duplicates
0	0	primary duplicates
27188140	0	mapped
99.16%	N/A	mapped %
27164549	0	primary mapped
99.16%	N/A	primary mapped %
27395308	0	paired in sequencing
13697654	0	read1
13697654	0	read2
26658268	0	properly paired
97.31%	N/A	properly paired %
27164014	0	with itself and mate mapped
535	0	singletons
0.00%	N/A	singletons %
20812	0	with mate mapped to a different chr
18779	0	with mate mapped to a different chr (mapQ>=5)
