24849877	0	total (QC-passed reads + QC-failed reads)
24827942	0	primary
0	0	secondary
21935	0	supplementary
0	0	duplicates
0	0	primary duplicates
24640172	0	mapped
99.16%	N/A	mapped %
24618237	0	primary mapped
99.16%	N/A	primary mapped %
24827942	0	paired in sequencing
12413971	0	read1
12413971	0	read2
24163772	0	properly paired
97.32%	N/A	properly paired %
24617804	0	with itself and mate mapped
433	0	singletons
0.00%	N/A	singletons %
16184	0	with mate mapped to a different chr
14350	0	with mate mapped to a different chr (mapQ>=5)
